Manin00g000010.1	IPR036610	PEBP-like superfamily
Manin10g005710.1	IPR011051	RmlC-like cupin domain superfamily
Manin10g005730.1	IPR001841	Zinc finger, RING-type
Manin10g005730.2	IPR001841	Zinc finger, RING-type
Manin10g005740.1	IPR019380	Casein kinase substrate, phosphoprotein PP28
Manin10g005740.2	IPR019380	Casein kinase substrate, phosphoprotein PP28
Manin10g005760.1	IPR001019	Guanine nucleotide binding protein (G-protein), alpha subunit
Manin10g005760.1	IPR001356	Homeobox domain
Manin10g005760.1	IPR009057	Homeobox-like domain superfamily
Manin10g005760.1	IPR011032	GroES-like superfamily
Manin10g005760.1	IPR013154	Alcohol dehydrogenase, N-terminal
Manin10g005760.1	IPR027417	P-loop containing nucleoside triphosphate hydrolase
Manin10g005760.1	IPR032001	SAWADEE domain
Manin10g005770.1	IPR006747	Protein of unknown function DUF599
Manin10g005790.1	IPR003959	ATPase, AAA-type, core
Manin10g005790.1	IPR027417	P-loop containing nucleoside triphosphate hydrolase
Manin10g005790.1	IPR034732	Extended PHD (ePHD) domain
Manin10g005790.1	IPR041569	AAA ATPase, AAA+ lid domain
Manin10g005800.1	IPR012337	Ribonuclease H-like superfamily
Manin10g005800.1	IPR013520	Exonuclease, RNase T/DNA polymerase III
Manin10g005810.1	IPR004181	Zinc finger, MIZ-type
Manin10g005820.1	IPR001544	Aminotransferase class IV
Manin10g005820.1	IPR036038	Aminotransferase-like, PLP-dependent enzymes
Manin10g005830.1	IPR003441	NAC domain
Manin10g005830.1	IPR036093	NAC domain superfamily
Manin10g005840.1	IPR001471	AP2/ERF domain
Manin10g005840.1	IPR016177	DNA-binding domain superfamily
Manin10g005860.1	IPR000719	Protein kinase domain
Manin10g005860.1	IPR011009	Protein kinase-like domain superfamily
Manin10g005870.1	IPR025610	Transcription factor MYC/MYB N-terminal
Manin10g005890.1	IPR001932	PPM-type phosphatase domain
Manin10g005890.1	IPR036457	PPM-type phosphatase domain superfamily
Manin10g005900.1	IPR004333	SBP domain
Manin10g005900.1	IPR036893	SBP domain superfamily
Manin10g005900.2	IPR004333	SBP domain
Manin10g005900.2	IPR036893	SBP domain superfamily
Manin10g005910.1	IPR000719	Protein kinase domain
Manin10g005910.1	IPR001611	Leucine-rich repeat
Manin10g005910.1	IPR011009	Protein kinase-like domain superfamily
Manin10g005910.1	IPR013210	Leucine-rich repeat-containing N-terminal, plant-type
Manin10g005920.1	IPR006108	3-hydroxyacyl-CoA dehydrogenase, C-terminal
Manin10g005920.1	IPR006176	3-hydroxyacyl-CoA dehydrogenase, NAD binding
Manin10g005920.1	IPR008927	6-phosphogluconate dehydrogenase-like, C-terminal domain superfamily
Manin10g005920.1	IPR036291	NAD(P)-binding domain superfamily
Manin10g005930.1	IPR002528	Multi antimicrobial extrusion protein
Manin10g005940.1	IPR003245	Phytocyanin domain
Manin10g005940.1	IPR008972	Cupredoxin
Manin10g005950.1	IPR001303	Class II aldolase/adducin N-terminal
Manin10g005950.1	IPR006439	HAD hydrolase, subfamily IA
Manin10g005950.1	IPR017714	Methylthioribulose-1-phosphate dehydratase
Manin10g005950.1	IPR023943	Enolase-phosphatase E1
Manin10g005950.1	IPR036409	Class II aldolase/adducin N-terminal domain superfamily
Manin10g005950.1	IPR036412	HAD-like superfamily
Manin10g005960.1	IPR008889	VQ
Manin10g005970.1	IPR027417	P-loop containing nucleoside triphosphate hydrolase
Manin10g005970.1	IPR030381	Dynamin-type guanine nucleotide-binding (G) domain
Manin10g005970.1	IPR045063	Dynamin, N-terminal
Manin10g005980.1	IPR006969	Stigma-specific protein Stig1
Manin10g005990.1	IPR002942	RNA-binding S4 domain
Manin10g005990.1	IPR017506	Photosystem II S4
Manin10g005990.1	IPR040591	YlmH, putative RNA-binding domain
Manin10g006010.1	IPR003406	Glycosyl transferase, family 14
Manin10g006010.2	IPR003406	Glycosyl transferase, family 14
Manin10g006010.3	IPR003406	Glycosyl transferase, family 14
Manin10g006020.1	IPR000719	Protein kinase domain
Manin10g006020.1	IPR001680	WD40 repeat
Manin10g006020.1	IPR011009	Protein kinase-like domain superfamily
Manin10g006020.1	IPR036322	WD40-repeat-containing domain superfamily
Manin10g006030.1	IPR000719	Protein kinase domain
Manin10g006030.1	IPR011009	Protein kinase-like domain superfamily
Manin10g006040.1	IPR006852	Protein of unknown function DUF616
Manin10g006070.1	IPR021319	Protein of unknown function DUF2921
Manin10g006080.1	IPR002058	PAP/25A-associated
Manin10g006080.1	IPR002934	Polymerase, nucleotidyl transferase domain
Manin10g006080.1	IPR043519	Nucleotidyltransferase superfamily
Manin10g006080.2	IPR002058	PAP/25A-associated
Manin10g006080.2	IPR002934	Polymerase, nucleotidyl transferase domain
Manin10g006080.2	IPR043519	Nucleotidyltransferase superfamily
Manin10g006090.1	IPR003329	Acylneuraminate cytidylyltransferase
Manin10g006090.1	IPR004528	3-deoxy-D-manno-octulosonate cytidylyltransferase
Manin10g006090.1	IPR029044	Nucleotide-diphospho-sugar transferases
Manin10g006100.1	IPR005746	Thioredoxin
Manin10g006100.1	IPR013766	Thioredoxin domain
Manin10g006100.1	IPR036249	Thioredoxin-like superfamily
Manin10g006110.1	IPR001841	Zinc finger, RING-type
Manin10g006110.1	IPR027370	RING-type zinc-finger, LisH dimerisation motif
Manin10g006120.1	IPR007112	Expansin/pollen allergen, DPBB domain
Manin10g006120.1	IPR007117	Expansin, cellulose-binding-like domain
Manin10g006120.1	IPR009009	RlpA-like protein, double-psi beta-barrel domain
Manin10g006120.1	IPR036749	Expansin, cellulose-binding-like domain superfamily
Manin10g006120.1	IPR036908	RlpA-like domain superfamily
Manin10g006130.1	IPR007603	Choline transporter-like
Manin10g006160.1	IPR004326	Mlo-related protein
Manin10g006160.2	IPR004326	Mlo-related protein
Manin10g006170.1	IPR006073	GTP binding domain
Manin10g006170.1	IPR012971	Nucleolar GTP-binding protein 2, N-terminal domain
Manin10g006170.1	IPR027417	P-loop containing nucleoside triphosphate hydrolase
Manin10g006170.1	IPR030378	Circularly permuted (CP)-type guanine nucleotide-binding (G) domain
Manin10g006180.1	IPR001611	Leucine-rich repeat
Manin10g006180.1	IPR026906	BspA type Leucine rich repeat region
Manin10g006190.1	IPR000408	Regulator of chromosome condensation, RCC1
Manin10g006190.1	IPR009091	Regulator of chromosome condensation 1/beta-lactamase-inhibitor protein II
Manin10g006190.2	IPR000408	Regulator of chromosome condensation, RCC1
Manin10g006190.2	IPR009091	Regulator of chromosome condensation 1/beta-lactamase-inhibitor protein II
Manin10g006200.1	IPR000644	CBS domain
Manin10g006220.1	IPR001680	WD40 repeat
Manin10g006220.1	IPR036322	WD40-repeat-containing domain superfamily
Manin10g006230.1	IPR009606	Modifying wall lignin-1/2
Manin10g006230.2	IPR009606	Modifying wall lignin-1/2
Manin10g006240.1	IPR000157	Toll/interleukin-1 receptor homology (TIR) domain
Manin10g006240.1	IPR035897	Toll/interleukin-1 receptor homology (TIR) domain superfamily
Manin10g006250.1	IPR001360	Glycoside hydrolase family 1
Manin10g006250.1	IPR017853	Glycoside hydrolase superfamily
Manin10g006260.1	IPR003441	NAC domain
Manin10g006260.1	IPR036093	NAC domain superfamily
Manin10g006270.1	IPR003441	NAC domain
Manin10g006270.1	IPR036093	NAC domain superfamily
Manin10g006280.1	IPR007248	Mpv17/PMP22
Manin10g006290.1	IPR022233	TRAPP II complex TRAPPC10, C-terminal
Manin10g006300.1	IPR013216	Methyltransferase type 11
Manin10g006300.1	IPR029063	S-adenosyl-L-methionine-dependent methyltransferase
Manin10g006310.1	IPR000719	Protein kinase domain
Manin10g006310.1	IPR001245	Serine-threonine/tyrosine-protein kinase, catalytic domain
Manin10g006310.1	IPR011009	Protein kinase-like domain superfamily
Manin10g006310.1	IPR024788	Malectin-like domain
Manin10g006320.1	IPR009646	Root cap
Manin10g006330.1	IPR002182	NB-ARC
Manin10g006330.1	IPR027417	P-loop containing nucleoside triphosphate hydrolase
Manin10g006330.1	IPR041118	Rx, N-terminal
Manin10g006340.1	IPR009646	Root cap
Manin10g006350.1	IPR002937	Amine oxidase
Manin10g006350.1	IPR007526	SWIRM domain
Manin10g006350.1	IPR009057	Homeobox-like domain superfamily
Manin10g006350.1	IPR036188	FAD/NAD(P)-binding domain superfamily
Manin10g006370.1	IPR001164	Arf GTPase activating protein
Manin10g006370.1	IPR037278	ARFGAP/RecO-like zinc finger
Manin10g006380.1	IPR008480	Protein of unknown function DUF761, plant
Manin10g006380.1	IPR025520	Domain of unknown function DUF4408
Manin10g006390.1	IPR003340	B3 DNA binding domain
Manin10g006390.1	IPR015300	DNA-binding pseudobarrel domain superfamily
Manin10g006410.1	IPR000048	IQ motif, EF-hand binding site
Manin10g006410.1	IPR001609	Myosin head, motor domain
Manin10g006410.1	IPR004009	Myosin, N-terminal, SH3-like
Manin10g006410.1	IPR027417	P-loop containing nucleoside triphosphate hydrolase
Manin10g006420.1	IPR022796	Chlorophyll A-B binding protein
Manin10g006430.1	IPR018490	Cyclic nucleotide-binding-like
Manin10g006440.1	IPR010634	Protein of unknown function DUF1223
Manin10g006440.1	IPR036249	Thioredoxin-like superfamily
Manin10g006450.1	IPR000535	Major sperm protein (MSP) domain
Manin10g006450.1	IPR008962	PapD-like superfamily
Manin10g006460.1	IPR022251	Protein of unknown function wound-induced
Manin10g006470.1	IPR000756	Diacylglycerol kinase, accessory domain
Manin10g006470.1	IPR001206	Diacylglycerol kinase, catalytic domain
Manin10g006470.1	IPR016064	NAD kinase/diacylglycerol kinase-like domain superfamily
Manin10g006480.1	IPR001394	Peptidase C19, ubiquitin carboxyl-terminal hydrolase
Manin10g006480.1	IPR001607	Zinc finger, UBP-type
Manin10g006480.1	IPR009060	UBA-like superfamily
Manin10g006480.1	IPR015940	Ubiquitin-associated domain
Manin10g006480.1	IPR028889	Ubiquitin specific protease domain
Manin10g006480.1	IPR038765	Papain-like cysteine peptidase superfamily
Manin10g006480.1	IPR041432	Ubiquitinyl hydrolase, variant UBP zinc finger
Manin10g006510.1	IPR006016	UspA
Manin10g006520.1	IPR000315	B-box-type zinc finger
Manin10g006530.1	IPR002048	EF-hand domain
Manin10g006530.1	IPR011992	EF-hand domain pair
Manin10g006540.1	IPR010471	Protein of unknown function DUF1068
Manin10g006550.1	IPR000719	Protein kinase domain
Manin10g006550.1	IPR000742	EGF-like domain
Manin10g006550.1	IPR000858	S-locus glycoprotein domain
Manin10g006550.1	IPR001245	Serine-threonine/tyrosine-protein kinase, catalytic domain
Manin10g006550.1	IPR001480	Bulb-type lectin domain
Manin10g006550.1	IPR003609	PAN/Apple domain
Manin10g006550.1	IPR011009	Protein kinase-like domain superfamily
Manin10g006550.1	IPR021820	S-locus receptor kinase, C-terminal
Manin10g006550.1	IPR036426	Bulb-type lectin domain superfamily
Manin10g006560.1	IPR000719	Protein kinase domain
Manin10g006560.1	IPR000858	S-locus glycoprotein domain
Manin10g006560.1	IPR001245	Serine-threonine/tyrosine-protein kinase, catalytic domain
Manin10g006560.1	IPR001480	Bulb-type lectin domain
Manin10g006560.1	IPR003609	PAN/Apple domain
Manin10g006560.1	IPR011009	Protein kinase-like domain superfamily
Manin10g006560.1	IPR021820	S-locus receptor kinase, C-terminal
Manin10g006560.1	IPR036426	Bulb-type lectin domain superfamily
Manin10g006570.1	IPR005025	NADPH-dependent FMN reductase-like
Manin10g006570.1	IPR008254	Flavodoxin/nitric oxide synthase
Manin10g006570.1	IPR010089	Flavoprotein WrbA-like
Manin10g006570.1	IPR029039	Flavoprotein-like superfamily
Manin10g006580.1	IPR011598	Myc-type, basic helix-loop-helix (bHLH) domain
Manin10g006580.1	IPR036638	Helix-loop-helix DNA-binding domain superfamily
Manin10g006580.2	IPR011598	Myc-type, basic helix-loop-helix (bHLH) domain
Manin10g006580.2	IPR036638	Helix-loop-helix DNA-binding domain superfamily
Manin10g006590.1	IPR004993	GH3 family
Manin10g006600.1	IPR011047	Quinoprotein alcohol dehydrogenase-like superfamily
Manin10g006620.1	IPR007493	Protein of unknown function DUF538
Manin10g006620.1	IPR036758	At5g01610-like superfamily
Manin10g006630.1	IPR004971	mRNA (guanine-N(7))-methyltransferase domain
Manin10g006630.1	IPR029063	S-adenosyl-L-methionine-dependent methyltransferase
Manin10g006640.1	IPR000504	RNA recognition motif domain
Manin10g006640.1	IPR035979	RNA-binding domain superfamily
Manin10g006650.1	IPR005828	Major facilitator,  sugar transporter-like
Manin10g006650.1	IPR020846	Major facilitator superfamily domain
Manin10g006650.1	IPR036259	MFS transporter superfamily
Manin10g006660.1	IPR005202	Transcription factor GRAS
Manin10g006670.1	IPR000719	Protein kinase domain
Manin10g006670.1	IPR001245	Serine-threonine/tyrosine-protein kinase, catalytic domain
Manin10g006670.1	IPR003256	Ribosomal protein L24
Manin10g006670.1	IPR005824	KOW
Manin10g006670.1	IPR008991	Translation protein SH3-like domain superfamily
Manin10g006670.1	IPR011009	Protein kinase-like domain superfamily
Manin10g006680.1	IPR036291	NAD(P)-binding domain superfamily
Manin10g006700.1	IPR007125	Histone H2A/H2B/H3
Manin10g006700.1	IPR009072	Histone-fold
Manin10g006700.1	IPR032454	Histone H2A, C-terminal domain
Manin10g006720.1	IPR015425	Formin, FH2 domain
Manin10g006730.1	IPR008978	HSP20-like chaperone
Manin10g006740.1	IPR001752	Kinesin motor domain
Manin10g006740.1	IPR027417	P-loop containing nucleoside triphosphate hydrolase
Manin10g006750.1	IPR008797	Oxygen-evolving enhancer protein 3
Manin10g006750.1	IPR023222	PsbQ-like domain superfamily
Manin10g006760.1	IPR013766	Thioredoxin domain
Manin10g006760.1	IPR036249	Thioredoxin-like superfamily
Manin10g006770.1	IPR011598	Myc-type, basic helix-loop-helix (bHLH) domain
Manin10g006770.1	IPR036638	Helix-loop-helix DNA-binding domain superfamily
Manin10g006780.1	IPR018962	Domain of unknown function DUF1995
Manin10g006790.1	IPR002495	Glycosyl transferase, family 8
Manin10g006790.1	IPR029044	Nucleotide-diphospho-sugar transferases
Manin10g006810.1	IPR001128	Cytochrome P450
Manin10g006810.1	IPR036396	Cytochrome P450 superfamily
Manin10g006820.1	IPR001128	Cytochrome P450
Manin10g006820.1	IPR036396	Cytochrome P450 superfamily
Manin10g006830.1	IPR022175	BCAS3 domain
Manin10g006830.1	IPR036322	WD40-repeat-containing domain superfamily
Manin10g006840.1	IPR026854	Vacuolar protein sorting-associated protein 13-like, N-terminal domain
Manin10g006850.1	IPR036322	WD40-repeat-containing domain superfamily
Manin10g006870.1	IPR002110	Ankyrin repeat
Manin10g006870.1	IPR026961	PGG domain
Manin10g006870.1	IPR036770	Ankyrin repeat-containing domain superfamily
Manin10g006880.1	IPR001680	WD40 repeat
Manin10g006880.1	IPR026992	Non-haem dioxygenase N-terminal domain
Manin10g006880.1	IPR036322	WD40-repeat-containing domain superfamily
Manin10g006890.1	IPR007194	Transport protein particle (TRAPP) component
Manin10g006890.1	IPR024096	NO signalling/Golgi transport ligand-binding domain superfamily
Manin10g006890.2	IPR007194	Transport protein particle (TRAPP) component
Manin10g006890.2	IPR024096	NO signalling/Golgi transport ligand-binding domain superfamily
Manin10g006900.1	IPR000626	Ubiquitin-like domain
Manin10g006900.1	IPR029071	Ubiquitin-like domain superfamily
Manin10g006910.1	IPR036312	Bifunctional inhibitor/plant lipid transfer protein/seed storage helical domain superfamily
Manin10g006920.1	IPR001005	SANT/Myb domain
Manin10g006920.1	IPR001950	SUI1 domain
Manin10g006920.1	IPR005874	Eukaryotic translation initiation factor SUI1
Manin10g006920.1	IPR009057	Homeobox-like domain superfamily
Manin10g006920.1	IPR017930	Myb domain
Manin10g006920.1	IPR036877	SUI1 domain superfamily
Manin10g006930.1	IPR002922	Thiazole biosynthetic enzyme Thi4 family
Manin10g006930.1	IPR036188	FAD/NAD(P)-binding domain superfamily
Manin10g006940.1	IPR006918	COBRA, plant
Manin10g006950.1	IPR000195	Rab-GTPase-TBC domain
Manin10g006950.1	IPR035969	Rab-GTPase-TBC domain superfamily
Manin10g006960.1	IPR003245	Phytocyanin domain
Manin10g006960.1	IPR008972	Cupredoxin
Manin10g006980.1	IPR012936	Endoplasmic reticulum vesicle transporter, C-terminal
Manin10g006980.1	IPR013766	Thioredoxin domain
Manin10g006980.1	IPR036249	Thioredoxin-like superfamily
Manin10g006980.1	IPR039542	Endoplasmic reticulum vesicle transporter, N-terminal
Manin10g006980.2	IPR012936	Endoplasmic reticulum vesicle transporter, C-terminal
Manin10g006980.2	IPR013766	Thioredoxin domain
Manin10g006980.2	IPR036249	Thioredoxin-like superfamily
Manin10g006980.2	IPR039542	Endoplasmic reticulum vesicle transporter, N-terminal
Manin10g007000.1	IPR016024	Armadillo-type fold
Manin10g007000.1	IPR028222	AP-5 complex subunit zeta-1
Manin10g007010.1	IPR021109	Aspartic peptidase domain superfamily
Manin10g007010.1	IPR032799	Xylanase inhibitor, C-terminal
Manin10g007010.1	IPR032861	Xylanase inhibitor, N-terminal
Manin10g007010.1	IPR033121	Peptidase family A1 domain
Manin10g007020.1	IPR004696	Triose phosphate/phosphoenolpyruvate translocator
Manin10g007020.1	IPR004853	Sugar phosphate transporter domain
Manin10g007020.2	IPR004696	Triose phosphate/phosphoenolpyruvate translocator
Manin10g007020.2	IPR004853	Sugar phosphate transporter domain
Manin10g007030.1	IPR001926	Pyridoxal-phosphate dependent enzyme
Manin10g007030.1	IPR006654	Tryptophan synthase, beta chain
Manin10g007030.1	IPR036052	Tryptophan synthase beta subunit-like PLP-dependent enzyme
Manin10g007050.1	IPR000253	Forkhead-associated (FHA) domain
Manin10g007050.1	IPR008984	SMAD/FHA domain superfamily
Manin10g007060.1	IPR001806	Small GTPase
Manin10g007060.1	IPR027417	P-loop containing nucleoside triphosphate hydrolase
Manin10g007070.1	IPR027951	Domain of unknown function DUF4477
Manin10g007080.1	IPR000566	Lipocalin/cytosolic fatty-acid binding domain
Manin10g007080.1	IPR012674	Calycin
Manin10g007090.1	IPR036770	Ankyrin repeat-containing domain superfamily
Manin10g007100.1	IPR016024	Armadillo-type fold
Manin10g007110.1	IPR001098	DNA-directed DNA polymerase, family A, palm domain
Manin10g007110.1	IPR043502	DNA/RNA polymerase superfamily
Manin10g007120.1	IPR000719	Protein kinase domain
Manin10g007120.1	IPR001245	Serine-threonine/tyrosine-protein kinase, catalytic domain
Manin10g007120.1	IPR011009	Protein kinase-like domain superfamily
Manin10g007130.1	IPR001611	Leucine-rich repeat
Manin10g007130.1	IPR013210	Leucine-rich repeat-containing N-terminal, plant-type
Manin10g007140.1	IPR001611	Leucine-rich repeat
Manin10g007150.1	IPR001611	Leucine-rich repeat
Manin10g007160.1	IPR001611	Leucine-rich repeat
Manin10g007160.1	IPR013210	Leucine-rich repeat-containing N-terminal, plant-type
Manin10g007170.1	IPR001611	Leucine-rich repeat
Manin10g007170.1	IPR013210	Leucine-rich repeat-containing N-terminal, plant-type
Manin10g007180.1	IPR001611	Leucine-rich repeat
Manin10g007180.1	IPR013210	Leucine-rich repeat-containing N-terminal, plant-type
Manin10g007190.1	IPR001611	Leucine-rich repeat
Manin10g007190.1	IPR013210	Leucine-rich repeat-containing N-terminal, plant-type
Manin10g007200.1	IPR001611	Leucine-rich repeat
Manin10g007200.1	IPR013210	Leucine-rich repeat-containing N-terminal, plant-type
Manin10g007210.1	IPR001611	Leucine-rich repeat
Manin10g007210.1	IPR013210	Leucine-rich repeat-containing N-terminal, plant-type
Manin10g007220.1	IPR036390	Winged helix DNA-binding domain superfamily
Manin10g007220.1	IPR040608	Snf8/Vps36 family
Manin10g007230.1	IPR001611	Leucine-rich repeat
Manin10g007230.1	IPR013210	Leucine-rich repeat-containing N-terminal, plant-type
Manin10g007240.1	IPR019547	Lipid desaturase domain
Manin10g007260.1	IPR001128	Cytochrome P450
Manin10g007260.1	IPR005349	TMEM14 family
Manin10g007260.1	IPR036396	Cytochrome P450 superfamily
Manin10g007270.1	IPR005636	DTW
Manin10g007280.1	IPR001890	RNA-binding, CRM domain
Manin10g007280.1	IPR035920	YhbY-like superfamily
Manin10g007290.1	IPR004843	Calcineurin-like phosphoesterase domain, ApaH type
Manin10g007290.1	IPR008963	Purple acid phosphatase-like, N-terminal
Manin10g007290.1	IPR015914	Purple acid phosphatase, N-terminal
Manin10g007290.1	IPR025733	Iron/zinc purple acid phosphatase-like C-terminal domain
Manin10g007290.1	IPR029052	Metallo-dependent phosphatase-like
Manin10g007300.1	IPR002182	NB-ARC
Manin10g007300.1	IPR027417	P-loop containing nucleoside triphosphate hydrolase
Manin10g007310.1	IPR001611	Leucine-rich repeat
Manin10g007310.1	IPR002182	NB-ARC
Manin10g007310.1	IPR027417	P-loop containing nucleoside triphosphate hydrolase
Manin10g007320.1	IPR004843	Calcineurin-like phosphoesterase domain, ApaH type
Manin10g007320.1	IPR008963	Purple acid phosphatase-like, N-terminal
Manin10g007320.1	IPR015914	Purple acid phosphatase, N-terminal
Manin10g007320.1	IPR029052	Metallo-dependent phosphatase-like
Manin10g007330.1	IPR002182	NB-ARC
Manin10g007330.1	IPR027417	P-loop containing nucleoside triphosphate hydrolase
Manin10g007340.1	IPR002182	NB-ARC
Manin10g007340.1	IPR027417	P-loop containing nucleoside triphosphate hydrolase
Manin10g007350.1	IPR027417	P-loop containing nucleoside triphosphate hydrolase
Manin10g007360.1	IPR035979	RNA-binding domain superfamily
Manin10g007410.1	IPR002182	NB-ARC
Manin10g007410.1	IPR027417	P-loop containing nucleoside triphosphate hydrolase
Manin10g007420.1	IPR000504	RNA recognition motif domain
Manin10g007420.1	IPR035979	RNA-binding domain superfamily
Manin10g007430.1	IPR000504	RNA recognition motif domain
Manin10g007430.1	IPR035979	RNA-binding domain superfamily
Manin10g007440.1	IPR025852	Ataxin 2, SM domain
Manin10g007470.1	IPR002123	Phospholipid/glycerol acyltransferase
Manin10g007470.1	IPR004552	1-acyl-sn-glycerol-3-phosphate acyltransferase
Manin10g007490.1	IPR001611	Leucine-rich repeat
Manin10g007490.1	IPR013210	Leucine-rich repeat-containing N-terminal, plant-type
Manin10g007510.1	IPR006056	RidA family
Manin10g007510.1	IPR006175	YjgF/YER057c/UK114 family
Manin10g007510.1	IPR035959	RutC-like superfamily
Manin10g007520.1	IPR003323	OTU domain
Manin10g007520.1	IPR038765	Papain-like cysteine peptidase superfamily
Manin10g007520.2	IPR003323	OTU domain
Manin10g007520.2	IPR038765	Papain-like cysteine peptidase superfamily
Manin10g007530.1	IPR001611	Leucine-rich repeat
Manin10g007530.1	IPR013210	Leucine-rich repeat-containing N-terminal, plant-type
Manin10g007550.1	IPR000719	Protein kinase domain
Manin10g007550.1	IPR011009	Protein kinase-like domain superfamily
Manin10g007560.1	IPR013210	Leucine-rich repeat-containing N-terminal, plant-type
Manin10g007570.1	IPR000719	Protein kinase domain
Manin10g007570.1	IPR002048	EF-hand domain
Manin10g007570.1	IPR011009	Protein kinase-like domain superfamily
Manin10g007570.1	IPR011992	EF-hand domain pair
Manin10g007580.1	IPR001950	SUI1 domain
Manin10g007580.1	IPR005874	Eukaryotic translation initiation factor SUI1
Manin10g007580.1	IPR036877	SUI1 domain superfamily
Manin10g007590.1	IPR029327	HAUS augmin-like complex subunit 4
Manin10g007610.1	IPR000573	Aconitase A/isopropylmalate dehydratase small subunit, swivel domain
Manin10g007610.1	IPR001030	Aconitase/3-isopropylmalate dehydratase large subunit, alpha/beta/alpha domain
Manin10g007610.1	IPR006249	Aconitase/Iron-responsive element-binding protein 2
Manin10g007610.1	IPR036008	Aconitase, iron-sulfur domain
Manin10g007620.1	IPR007763	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12
Manin10g007630.1	IPR000131	ATP synthase, F1 complex, gamma subunit
Manin10g007630.1	IPR035968	ATP synthase, F1 complex, gamma subunit superfamily
Manin10g007640.1	IPR008949	Isoprenoid synthase domain superfamily
Manin10g007650.1	IPR002659	Glycosyl transferase, family 31
Manin10g007650.1	IPR025298	Domain of unknown function DUF4094
Manin10g007660.1	IPR004241	Autophagy protein Atg8 ubiquitin-like
Manin10g007660.1	IPR029071	Ubiquitin-like domain superfamily
Manin10g007670.1	IPR001005	SANT/Myb domain
Manin10g007670.1	IPR009057	Homeobox-like domain superfamily
Manin10g007670.1	IPR017930	Myb domain
Manin10g007680.1	IPR001487	Bromodomain
Manin10g007680.1	IPR036427	Bromodomain-like superfamily
Manin10g007690.1	IPR001087	GDSL lipase/esterase
Manin10g007700.1	IPR000432	DNA mismatch repair protein MutS, C-terminal
Manin10g007700.1	IPR007696	DNA mismatch repair protein MutS, core
Manin10g007700.1	IPR007861	DNA mismatch repair protein MutS, clamp
Manin10g007700.1	IPR027417	P-loop containing nucleoside triphosphate hydrolase
Manin10g007700.1	IPR036187	DNA mismatch repair protein MutS, core domain superfamily
Manin10g007710.1	IPR026147	Rab3GAP catalytic subunit, conserved domain
Manin10g007720.1	IPR000089	Biotin/lipoyl attachment
Manin10g007720.1	IPR001078	2-oxoacid dehydrogenase acyltransferase, catalytic domain
Manin10g007720.1	IPR006255	Dihydrolipoamide succinyltransferase
Manin10g007720.1	IPR011053	Single hybrid motif
Manin10g007720.2	IPR000089	Biotin/lipoyl attachment
Manin10g007720.2	IPR001078	2-oxoacid dehydrogenase acyltransferase, catalytic domain
Manin10g007720.2	IPR006255	Dihydrolipoamide succinyltransferase
Manin10g007720.2	IPR011053	Single hybrid motif
Manin10g007720.3	IPR000089	Biotin/lipoyl attachment
Manin10g007720.3	IPR011053	Single hybrid motif
Manin10g007740.1	IPR004651	Histidine biosynthesis, HisF
Manin10g007740.1	IPR006062	Histidine biosynthesis protein
Manin10g007740.1	IPR010139	Imidazole glycerol phosphate synthase, subunit H
Manin10g007740.1	IPR011060	Ribulose-phosphate binding barrel
Manin10g007740.1	IPR017926	Glutamine amidotransferase
Manin10g007740.1	IPR029062	Class I glutamine amidotransferase-like
Manin10g007750.1	IPR000727	Target SNARE coiled-coil homology domain
Manin10g007750.1	IPR010989	SNARE
Manin10g007750.1	IPR015260	Syntaxin 6, N-terminal
Manin10g007770.1	IPR000719	Protein kinase domain
Manin10g007770.1	IPR011009	Protein kinase-like domain superfamily
Manin10g007780.1	IPR003657	WRKY domain
Manin10g007780.1	IPR036576	WRKY domain superfamily
Manin10g007800.1	IPR016024	Armadillo-type fold
Manin10g007810.1	IPR000999	Ribonuclease III domain
Manin10g007810.1	IPR014720	Double-stranded RNA-binding domain
Manin10g007810.1	IPR036389	Ribonuclease III, endonuclease domain superfamily
Manin10g007820.1	IPR000727	Target SNARE coiled-coil homology domain
Manin10g007830.1	IPR001025	Bromo adjacent homology (BAH) domain
Manin10g007830.1	IPR011011	Zinc finger, FYVE/PHD-type
Manin10g007830.1	IPR019787	Zinc finger, PHD-finger
Manin10g007830.2	IPR001025	Bromo adjacent homology (BAH) domain
Manin10g007830.2	IPR011011	Zinc finger, FYVE/PHD-type
Manin10g007830.2	IPR019787	Zinc finger, PHD-finger
Manin10g007840.1	IPR005299	SAM dependent carboxyl methyltransferase
Manin10g007840.1	IPR029063	S-adenosyl-L-methionine-dependent methyltransferase
Manin10g007850.1	IPR039431	Vta1/callose synthase, N-terminal
Manin10g007850.1	IPR041212	Vta1, C-terminal
Manin10g007850.2	IPR039431	Vta1/callose synthase, N-terminal
Manin10g007850.2	IPR041212	Vta1, C-terminal
Manin10g007870.1	IPR002213	UDP-glucuronosyl/UDP-glucosyltransferase
Manin10g007880.1	IPR002213	UDP-glucuronosyl/UDP-glucosyltransferase
Manin10g007890.1	IPR000740	GrpE nucleotide exchange factor
Manin10g007890.1	IPR009012	GrpE nucleotide exchange factor, head
Manin10g007890.1	IPR013805	GrpE nucleotide exchange factor, coiled-coil
Manin10g007900.1	IPR001471	AP2/ERF domain
Manin10g007900.1	IPR016177	DNA-binding domain superfamily
